Country,Business,Partner Name,Partner Product Name,BI Product Name
Portugal,Animal Health,Propecuária,Frontline combo cao(3pp)(l-20/40kg),FTL COMBO DOG L TUDLI/ 3/268+2412/26
Portugal,Animal Health,Propecuária,Frontline combo cao(3pp)(m-10/20kg),FTL COMBO DOG M TUDLI/ 3/134+1206MG/1
Portugal,Animal Health,Propecuária,Frontline combo cao(3pp)(s-2/10 kg),FTL COMBO DOG S TUDLI/ 3/67+603MG/06
Portugal,Animal Health,Propecuária,Frontline combo gatos (3pp),FTL COMBO CAT TUDLI/ 3/50+60MG/05ML P
Portugal,Animal Health,Propecuária,Stomorgyl 10 mg,STOMORGYL 10 FICTA/ 10/250+125MG PT
Portugal,Animal Health,Propecuária,Immiticide (5x2ml),IMMITICIDE INJVI/ 5*1/PT
Portugal,Animal Health,Propecuária,Frontline spray 100 ml,FRONTLINE SPRAY PUMPS/100ML 1/25MG/ML
Portugal,Animal Health,Propecuária,Frontline spray 250 ml,FRONTLINE SPRAY PUMPS/250ML 1/25MG/ML
Portugal,Animal Health,Propecuária,Merilym 3 - 10 ds,MERILYM 3 INJVI/1ML 10/1DS DE/AT
Portugal,Animal Health,Propecuária,Vetmedin  mastigavel  25 mg x 100 cp,VETMEDIN VET CHWTA/ 100/25MG ES
Portugal,Animal Health,Propecuária,Vetmedin  mastigavel  125 mg x 100 cp,VETMEDIN VET CHWTA/ 100/125MG ES
Portugal,Animal Health,Propecuária,Apelka 5mg/ml - 30ml,APELKA OLIQU/30ML 1/5MG/ML E/P/I
Portugal,Animal Health,Propecuária,Vetmedin  mastigavel  10 mg - 50 cp,VETMEDIN VET CHWTA/ 50/10MG ES
Portugal,Animal Health,Propecuária,Vetmedin  mastigavel  5 mg x 100 cp,VETMEDIN VET CHWTA/ 100/5MG ES
Portugal,Animal Health,Propecuária,Vetmedin 5 ml  injectavel,VETMEDIN LIINJ/5ML 1/075MG/ML ES
Portugal,Animal Health,Propecuária,Prozinc 40 ui/ml 10 ml,PROZINC INJSC/10ML 1/40IU/ML ES
Portugal,Animal Health,Propecuária,Eurican piro 1 ds,EURICAN PIRO INJVI/3ML 1/1DS PT
Portugal,Animal Health,Propecuária,Glucantime cx 5*5 ml,GLUCANTIME INJVI/5ML 5*1/300MG/ML PT
Portugal,Animal Health,Propecuária,Purevax rabies (cx 2 ds),PUREVAX RABIES INJVI/3ML 2/1DS GB
Portugal,Animal Health,Propecuária,Metacam oral suinos 100 ml,METACAM PIG SUSPE/100ML 1/15MG/ML ES/PT
Portugal,Animal Health,Propecuária,Semintra 4 mg - 30 ml,SEMINTRA LIQUI/30ML 1/4MG/ML ES
Portugal,Animal Health,Propecuária,Metacam inj. 2% 50 ml,METACAM 2% LIINJ/50ML 1/ES/PT
Portugal,Animal Health,Propecuária,Broadline gatos l (2.5 - 7.5 kg) 3 x 0.9 ml,BROADLINE CAT L TUDLI/ 3/ES/PT
Portugal,Animal Health,Propecuária,Broadline gatos s (0.6 - 2.5 kg) 3 x 0.3 ml,BROADLINE CAT S TUDLI/ 3/ES/PT
Portugal,Animal Health,Propecuária,Bovalto respi 4 - 5 ds/ 10 ml,BOVALTO RESPI 4 INJVI/10ML 1/5DS ES/PT
Portugal,Animal Health,Propecuária,Metacam injectavel cao/gato 20 ml - 05 %,METACAM SA INJE LIINJ/20ML 1/5MG/ML ES
Portugal,Animal Health,Propecuária,Quentan 50 ml (myciquat),BISOLVON CATTLE LIINJ/50ML 1/300MG/100M
Portugal,Animal Health,Propecuária,Imalgene 1000 10ml,IMALGENE 1000 INJVI/10ML 1/1G/10ML PT
Portugal,Animal Health,Propecuária,Ivomec  f  200ml,IVOMEC F INJSC/200ML 1/10+100MG/ML PT
Portugal,Animal Health,Propecuária,Ivomec multi-especies 500ml,IVOMEC CATTLE INJSC/500ML 1/10MG/ML PT
Portugal,Animal Health,Propecuária,Ivomec multiespecies inj 1% x 200 ml,IVOMEC 1% INJSC/200ML 1/10MG/ML PT
Portugal,Animal Health,Propecuária,Proteq west nile 2 ds.,PROTEQ WEST NIL INJVI/1ML 2/ES/PT
Portugal,Animal Health,Propecuária,Frontline tri-act s (5-10 kg),FTL COMBO CAT TUDLI/ 1/50+60MG/05ML F
Portugal,Animal Health,Propecuária,Frontpro s  2-4kg  3cp,NEXG COMB CAT L TUDLI/09ML 3/ES/PT
Portugal,Animal Health,Propecuária,Apelka 5mg/ml - 30ml,APELKA OLIQU/30ML 1/5MG/ML E/P/I
Portugal,Animal Health,Propecuária,Glucantime cx 5*5 ml,GLUCANTIME INJVI/5ML 5*1/300MG/ML PT
Portugal,Animal Health,Propecuária,Eurican  dap-l  multi  10 ds,EURICAN DAP INJVI/1ML 10/1DS PT
Portugal,Animal Health,Propecuária,Eurican  dappi-l  multi  10 ds,EURICAN DAPPI INJSC/1ML 10/1DS PT
Portugal,Animal Health,Propecuária,Eurican piro 1 ds,EURICAN PIRO INJVI/ 1/1DS PT
Portugal,Animal Health,Propecuária,Semintra 4 mg - 30 ml,SEMINTRA LIQUI/30ML 1/4MG/ML ES
Portugal,Animal Health,Propecuária,Nexgard 11 mg - s - (2-4 kg) laranja 3 cp,NEXGARD DOG S CHWTA/ 3/113MG ES/PT
Portugal,Animal Health,Propecuária,Nexgard 28 mg - m - (4-10 kg) azul 3 cp,NEXGARD DOG M CHWTA/ 3/283MG ES/PT
Portugal,Animal Health,Propecuária,Nexgard 68 mg - l - (10-25 kg) roxo 3 cp,NEXGARD DOG L CHWTA/ 3/68MG ES/PT
Portugal,Animal Health,Propecuária,Nexgard 136 mg - xl - (25-50 kg) castanho 3 cp,NEXGARD DOG XL CHWTA/ 3/136MG ES/PT
Portugal,Animal Health,Bio 2,Prozinc 40 ui/ml inj 10 ml,PROZINC INJSC/10ML 1/40IU/ML ES
Portugal,Animal Health,Bio 2,Semintra sol oral 4 mg/ml 30 ml,SEMINTRA LIQUI/30ML 1/4MG/ML ES
Portugal,Animal Health,Bio 2,Proteq west nile cx 2 ds  aue,PROTEQ WEST NIL INJVI/1ML 2/ES/PT
Portugal,Animal Health,Bio 2,Eprinex multi pour on 1lt,EPRINEX MULTI TOEXL/1L 1/5MG/ML ES/PT
Portugal,Animal Health,Bio 2,Eprinex multi pour-on 5lt,EPRINEX MULTI TOEXL/5L 1/5MG/ML ES/PT
Portugal,Animal Health,Bio 2,Metacam 2% inj 50 ml,METACAM 2% LIINJ/50ML 1/ES/PT
Portugal,Animal Health,Bio 2,Fencovis 10x1d,FENCOVIS INJVI/2ML 10/1DS ES/PT
Portugal,Animal Health,Bio 2,Apelka 5mg/ml gato sol oral 30 ml,APELKA OLIQU/30ML 1/5MG/ML E/P/I
Portugal,Animal Health,Bio 2,Miloxan 250 ml,MILOXAN INJVI/250ML 1/PT
Portugal,Animal Health,Bio 2,broadline gato l 2.5 kg-7.5 kg3srg,BROADLINE CAT L TUDLI/ 3/ES/PT
Portugal,Animal Health,Bio 2,eurican dap lr cx10,EURICAN DAP LR INJSC/3ML 10/1DS PT
Portugal,Animal Health,Bio 2,metacam susp oral cao 32 ml,METACAM DOG SUOTH/32ML 1/15MG/ML ES
Portugal,Animal Health,Bio 2,metacam cao/gato 5mg inj 20 ml,METACAM SA INJE LIINJ/20ML 1/5MG/ML ES
Portugal,Animal Health,Bio 2,Monzal 100mg/ml inj 20 ml,MONZAL LIINJ/20ML 1/10G/100ML ES
Portugal,Animal Health,Bio 2,Metacam susp oral suinos 100 ml,METACAM PIG SUSPE/100ML 1/15MG/ML ES/PT
Portugal,Animal Health,Bio 2,frontline spray 500 ml,FRONTLINE SPRAY PUMPS/500ML 1/25MG/ML
Portugal,Animal Health,Bio 2,frontline spot on s 2 a 10kg 3pp,FTL DOG S TUDLI/ 3/67MG/067ML PT
Portugal,Animal Health,Bio 2,suanovil 20 inj 100ml,SUANOVIL 20 INJVI/100ML 1/PT
Portugal,Animal Health,Bio 2,dovenix bov/ovinos inj 250 ml,DOVENIX INJVI/250ML 1/250MG/ML ES/PT
Portugal,Animal Health,Bio 2,Ingelvac circoflex 50ds 50ml,IV CIRCOFLEX INVIM/50ML 1/50DS ES
Portugal,Animal Health,Bio 2,Mamyzin secado 20inj,MAMYZIN SECADO OSOIN/5ML 20/20+56+20MG
Portugal,Animal Health,Bio 2,Bovalto respi 4 frasco 5 doses,BOVALTO RESPI 4 INJVI/10ML 1/5DS ES/PT
Portugal,Animal Health,Bio 2,Frontline combo 1 pp gato,FTL COMBO CAT TUDLI/ 1/50+60MG/05ML F
Portugal,Animal Health,Bio 2,Mamyzin parenteral 10 gr cx10,MAMYZIN PARENTE DRLIQ/10G 10/+10 ES/PT
Portugal,Animal Health,Bio 2,Miloxan 50ml,MILOXAN INJVI/50ML 1/PT
Portugal,Animal Health,Bio 2,*imalgene 1000 - inj 10ml,IMALGENE 1000 INJVI/10ML 1/1G/10ML PT
Portugal,Animal Health,Bio 2,Entericolix emul inj 50ml 25 doses,ENTERICOLIX INVIM/50ML 1/25DS ES/PT/IT
Portugal,Animal Health,Bio 2,Broadline gato s ate 2.5 kg 3 srg,BROADLINE CAT S TUDLI/ 3/ES/PT
Portugal,Animal Health,Bio 2,Monzal 100mg/ml inj 50ml,MONZAL LIINJ/50ML 1/ES/PT
Portugal,Animal Health,Bio 2,Bovalto respi intranasal 5 x 1ds,BOVALTO RESPI 2 INJVI/2ML 5/1DS ES/PT
Portugal,Animal Health,Bio 2,Nexgard 136 mg cao xl 25-50 kg 3 cp,NEXGARD DOG XL CHWTA/ 3/136MG ES/PT
Portugal,Animal Health,Bio 2,Nexgard 68 mg cao l 10-25 kg 3 cp,NEXGARD DOG L CHWTA/ 3/68MG ES/PT
Portugal,Animal Health,Bio 2,Nexgard 28 mg cao m 4-10 kg 3 cp,NEXGARD DOG M CHWTA/ 3/283MG ES/PT
Portugal,Animal Health,Bio 2,Nexgard 11 mg cao s 2-4 kg 3 cp,NEXGARD DOG S CHWTA/ 3/113MG ES/PT
Portugal,Animal Health,Bio 2,Eurican piro 1 ds  (pirodog),EURICAN PIRO INJVI/3ML 1/1DS PT
Portugal,Animal Health,Bio 2,Senvelgo sol oral 30 ml,SENVELGO LIQUI/30ML 1/15MG/ML ES/PT
Portugal,Animal Health,Bio 2,Fencovis 5 d,FENCOVIS INJVI/10ML 1/5DS ES/PT
Portugal,Animal Health,Bio 2,Glucantime cx5x5ml 300mg/ml inj,GLUCANTIME INJVI/5ML 5*1/300MG/ML PT
Portugal,Animal Health,Bio 2,Frontline homegard 250ml,FTL PETCARE HOM PUMPS/250ML 1/GR/CY/PT
Portugal,Animal Health,Bio 2,Frontline combo gatos 6pp,FTL COMBO CAT TUDLI/ 6/50+60MG/05ML P
Portugal,Animal Health,Bio 2,Purevax rcp 10 ds,PUREVAX RCP INJVI/3ML 10/1DS ES
Portugal,Animal Health,Bio 2,Purevax rcpch felv 10 ds,PVAX RCPCH FELV INJVI/3ML 10/1DS ES
Portugal,Animal Health,Bio 2,Purevax rcpch 10 ds,PUREVAX RCPCH INJVI/3ML 10/1DS ES
Portugal,Animal Health,Bio 2,Purevax felv 10 ds,PUREVAX FELV INJVI/3ML 10/1DS ES
Portugal,Animal Health,Bio 2,Eurican dappi-l (chppi-l)multi cx10,EURDAPPI L MUL INJSC/3ML 10/1DS FR
Portugal,Animal Health,Bio 2,Eurican dappi-lr 10 ds,EURIC DAPPI LR INJVI/3ML 10/1DS FR
Portugal,Animal Health,Bio 2,Nexgard spectra m 7.5-15 kg 3 cp,NEXGARD SPEC M CHWTA/ 3/375+75MG ES/
Portugal,Animal Health,Bio 2,Nexgard spectra s 3.5-7.5 kg 3 cp,NEXGARD SPEC S CHWTA/ 3/1875+375MG E
Portugal,Animal Health,Bio 2,Previcox 227 mg 30 cp,PREVICOX Q DOG CHWTA/ 30/227MG PT
Portugal,Animal Health,Bio 2,Previcox 227 mg 10 cp,PREVICOX Q DOG CHWTA/ 10/227MG PT
Portugal,Animal Health,Bio 2,Proteq-flu te 10 ds,PROTEQFLU TE  R INVIM/1ML 10/1DS ES/PT
Portugal,Animal Health,Bio 2,Previcox 57 mg 30 cp,PREVICOX Q DOG CHWTA/ 30/57MG PT
Portugal,Animal Health,Bio 2,Previcox 57 mg 10 cp,PREVICOX Q DOG CHWTA/ 10/57MG PT
Portugal,Animal Health,Bio 2,Nexgard spectra l 15-30 kg 3 cp,NEXGARD SPEC L CHWTA/ 3/75+15MG ES/PT
Portugal,Animal Health,Bio 2,Nexgard spectra xl 30-60 kg 3 cp,NEXGARD SPEC XL CHWTA/ 3/150+30MG ES/P
Portugal,Animal Health,Bio 2,Nexgard spectra xs 2-3.5 kg 3 cp,NEXGARD SPEC XS CHWTA/ 3/9375+1875MG
Portugal,Animal Health,Bio 2,Zactran inj 250 ml,ZACTRAN INJVI/250ML 1/150MG/ML PT
Portugal,Animal Health,Bio 2,Zactran inj 100 ml,ZACTRAN INJVI/100ML 1/150MG/ML GR/CY/PT
Portugal,Animal Health,Bio 2,Eurican herpes 205 1 ds,EURIC HERP 205 INJVI/3ML 1/1DS ES/PT
Portugal,Animal Health,Bio 2,Purevax rabies 2 ds,PUREVAX RABIES INJVI/3ML 2/1DS GB
Portugal,Animal Health,Bio 2,Zactran inj 50 ml,ZACTRAN INJVI/50ML 1/150MG/ML PT
Portugal,Animal Health,Bio 2,Nexgard combo l gato 2.5-7.5kg 3pip,NEXG COMB CAT L TUDLI/09ML 3/ES/PT
Portugal,Animal Health,Bio 2,Nexgard combo s gato -2.5kg 3pip,NEXG COMB CAT S TUDLI/03ML 3/ES/PT
Portugal,Animal Health,Bio 2,Frontpro xl caes 25-50kg 136mg,FRONTPRO XL CHWTA/ 3/136MG PT
Portugal,Animal Health,Bio 2,Frontpro s caes 2-4kg 11.3mg,FRONTPRO S CHWTA/ 3/113MG PT
Portugal,Animal Health,Bio 2,Frontpro m caes 4-10kg 28.3mg,FRONTPRO M CHWTA/ 3/283MG PT
Portugal,Animal Health,Bio 2,Frontpro l caes 10-25kg 68mg,FRONTPRO L CHWTA/ 3/68MG PT
Portugal,Animal Health,Bio 2,Bovalto respi intran 1 fras 5 doses,BOVALTO RESPI I INJVI/10ML 1/5DS ES/PT
Portugal,Animal Health,Bio 2,Eprinex multi pour on 25l,EPRINEX MULTI TOEXL/25L 1/5MG/ML ES/PT
Portugal,Animal Health,Bio 2,Bovalto respi 4 frasco 25 doses,BOVALTO RESPI 4 INJVI/50ML 1/25DS ES/P
Portugal,Animal Health,Bio 2,Bovalto respi 3 frasco 25 doses,BOVALTO RESPI 3 INJVI/50ML 1/25DS ES/P
Portugal,Animal Health,Bio 2,Bovalto respi 3 frasco 5 doses,BOVALTO RESPI 3 INJVI/10ML 1/5DS ES/PT
Portugal,Animal Health,Bio 2,Eurican dap-l multi 10*1 dose,EUR DAP L MULT INJSC/3ML 10/1DS FR
Portugal,Animal Health,Bio 2,Heartgard 272mcg 6 cp cast 23/45kg,HGARD PL DOG L CHWTA/ 6/272UG+227MG PT
Portugal,Animal Health,Bio 2,Heartgard 136mcg 6 cp verd 12/22kg,HGARD PL DOG M CHWTA/ 6/136UG+114MG PT
Portugal,Animal Health,Bio 2,Heartgard 68mcg 6 cp azul 5/11kg,HGARD PL DOG S CHWTA/ 6/68UG+57MG PT
Portugal,Animal Health,Bio 2,Frontline tri-act xl cao40-60kg 3p,FTL TRI-ACT XL TUDLI/ 3/4056+30288MG
Portugal,Animal Health,Bio 2,Frontline tri-act l cao 20-40kg 3p,FTL TRI-ACT L TUDLI/ 3/2704+20192MG/
Portugal,Animal Health,Bio 2,Frontline tri-act m cao 10-20kg 3p,FTL TRI-ACT M TUDLI/ 3/1352+10096MG/
Portugal,Animal Health,Bio 2,Frontline tri-act s cao 5-10kg 3pp,FTL TRI-ACT S TUDLI/ 3/676+5048MG/ML
Portugal,Animal Health,Bio 2,Frontline tri-act xs cao 2-5kg 3pp,FTL TRI-ACT XS TUDLI/ 3/338+2524MG/0
Portugal,Animal Health,Bio 2,Eurican pneumo 10 ds,EURICAN PNEUMO INJSC/3ML 10/1DS PT
Portugal,Animal Health,Bio 2,Eurican primo 10 ds,EURICAN PRIMO INJSC/3ML 10/1DS PT
Portugal,Animal Health,Bio 2,Ronaxan 20 mg 2*10 cp,RONAXAN CPR TABS/ 20/20MG PT
Portugal,Animal Health,Bio 2,Ronaxan 100 mg 10 cp,RONAXAN CPR TABS/ 10/100MG PT
Portugal,Animal Health,Bio 2,Ubrolexin 10gr cx20 injetores,UBROLEXIN OSOIN/ 20/20+133MG/G ES/PT
Portugal,Animal Health,Bio 2,Benfital plus cx24,BENFITAL PLUS POWDE/100G 24/ES
Portugal,Animal Health,Bio 2,Metacam 2% inj 100 ml,METACAM 2% LIINJ/100ML 1/20MG/ML ES
Portugal,Animal Health,Bio 2,Bovikalc bolos 4*190 gr,BOVIKALC ODFR/192G 6*4/42G ES
Portugal,Animal Health,Bio 2,Quentan inj 50 ml,BISOLVON CATTLE LIINJ/50ML 1/300MG/100M
Portugal,Animal Health,Bio 2,Pexion 400 mg 100 cp,PEXION TABS/ 100/400MG ES
Portugal,Animal Health,Bio 2,Pexion 100 mg 100 cp,PEXION TABS/ 100/100MG ES
Portugal,Animal Health,Bio 2,Ivomec multi especies 1000 ml,IVOMEC CATTLE INJSC/1L 1/10MG/ML PT
Portugal,Animal Health,Bio 2,Rabisin st cx10 1*1 dose,RABISIN ST INJVI/3ML 10/1DS PT
Portugal,Animal Health,Bio 2,Ivomec f inj 1000 ml,IVOMEC F INJSC/1L 1/10+100MG/ML PT
Portugal,Animal Health,Bio 2,Eqvalan pasta duo ser.774gr,EQVALAN DUO OSOPA/ 1/155+775MG/G ES/
Portugal,Animal Health,Bio 2,Gastrogard 37% pasta 6.16gr cx7,GASTROGARD OSOPA/ 7/37% ES/PT
Portugal,Animal Health,Bio 2,Eqvalan pasta ser.642gr,EQVALAN OSOPA/ 1/187MG/G PT
Portugal,Animal Health,Bio 2,Ivomec f inj 200 ml,IVOMEC F INJSC/200ML 1/10+100MG/ML PT
Portugal,Animal Health,Bio 2,Ivomec f inj 500 ml,IVOMEC F INJSC/500ML 1/10+100MG/ML PT
Portugal,Animal Health,Bio 2,Ivomec f inj 50 ml,IVOMEC F INJSC/50ML 1/10+100MG/ML PT
Portugal,Animal Health,Bio 2,Ivomec multi especies 50 ml,IVOMEC CATTLE INJSC/50ML 1/10MG/ML PT
Portugal,Animal Health,Bio 2,Ivomec multi especies 200 ml,IVOMEC 1% INJSC/200ML 1/10MG/ML PT
Portugal,Animal Health,Bio 2,Ivomec multi especies 500 ml,IVOMEC CATTLE INJSC/500ML 1/10MG/ML PT
Portugal,Animal Health,Bio 2,Frontline combo 1 pp cao xl +40kg,FTL CMBO DOG XL TUDLI/ 1/402+3618MG/4
Portugal,Animal Health,Bio 2,Frontline combo 1 pp cao l 20/40kg,FTL COMBO DOG L TUDLI/ 1/268+2412/26
Portugal,Animal Health,Bio 2,Frontline combo 1 pp cao m 10/20kg,FTL COMBO DOG M TUDLI/ 1/134+1206MG/1
Portugal,Animal Health,Bio 2,Frontline combo 1 pp cao s 2/10kg,FTL COMBO DOG S TUDLI/ 1/67+603MG/06
Portugal,Animal Health,Bio 2,Frontline combo cao xl +40kg 3pip,FTL CMBO DOG XL TUDLI/ 3/402+3618MG/4
Portugal,Animal Health,Bio 2,Frontline combo cao l 20-40kg 3pip,FTL COMBO DOG L TUDLI/ 3/268+2412/26
Portugal,Animal Health,Bio 2,Frontline combo cao m 10-20kg 3pip,FTL COMBO DOG M TUDLI/ 3/134+1206MG/1
Portugal,Animal Health,Bio 2,Frontline combo cao s 2-10 kg 3pp,FTL COMBO DOG S TUDLI/ 3/67+603MG/06
Portugal,Animal Health,Bio 2,Frontline combo gatos 3pp,FTL COMBO CAT TUDLI/ 3/50+60MG/05ML P
Portugal,Animal Health,Bio 2,Stomorgyl 10 cao/gato 10 comp,STOMORGYL 10 FICTA/ 10/250+125MG PT
Portugal,Animal Health,Bio 2,Immiticide fl 25mg/ml  cx5,IMMITICIDE INJVI/ 5*1/PT
Portugal,Animal Health,Bio 2,Frontline spray 100 ml,FRONTLINE SPRAY PUMPS/100ML 1/25MG/ML
Portugal,Animal Health,Bio 2,Frontline spray 250 ml,FRONTLINE SPRAY PUMPS/250ML 1/25MG/ML
Portugal,Animal Health,Bio 2,Ubroseal dry cow sus intram cx20,UBROSEAL OSGEL/4G 20/ES/PT
Portugal,Animal Health,Bio 2,Merilym 3 10 ds,MERILYM 3 INJVI/1ML 10/1DS DE/AT
